TransactionID,CustomerID,Date,Amount,TransactionType,AccountBalance,Branch
TXN00001,CUST0103,2025-01-22,1548.11,Debit,3276.37,Leeds
TXN00002,CUST0180,2025-03-07,1047.38,Credit,3300.76,Glasgow
TXN00003,CUST0093,2025-02-07,1952.27,Debit,3868.21,Birmingham
TXN00004,CUST0015,2025-03-31,259.84,Debit,5863.64,Glasgow
TXN00005,CUST0107,2025-02-15,43.73,Credit,2897.07,Glasgow
TXN00006,CUST0072,2025-01-15,1542.61,Credit,9195.25,Manchester
TXN00007,CUST0189,2025-02-13,1616.24,Debit,3024.01,Leeds
TXN00008,CUST0021,2025-02-18,249.21,Credit,9010.25,Leeds
TXN00009,CUST0103,2025-03-16,538.51,Debit,1483.01,Manchester
TXN00010,CUST0122,2025-03-02,44.93,Debit,6737.35,Leeds
TXN00011,CUST0075,2025-03-08,593.68,Credit,9116.36,Manchester
TXN00012,CUST0088,2025-01-06,1548.55,Debit,2103.12,Birmingham
TXN00013,CUST0117,2025-01-09,1040.74,Credit,9699.11,Glasgow
TXN00014,CUST0100,2025-01-06,702.71,Credit,4802.39,Glasgow
TXN00015,CUST0104,2025-03-14,749.76,Credit,9484.29,Leeds
TXN00016,CUST0152,2025-02-01,12.69,Debit,6929.79,London
TXN00017,CUST0131,2025-02-10,606.6,Credit,3365.08,Glasgow
TXN00018,CUST0150,2025-03-17,1296.45,Credit,2288.87,Manchester
TXN00019,CUST0053,2025-01-08,1948.65,Debit,3385.48,London
TXN00020,CUST0002,2025-03-13,1695.65,Debit,1383.67,London
TXN00021,CUST0088,2025-02-19,56.95,Debit,1866.75,Glasgow
TXN00022,CUST0158,2025-03-03,1798.14,Debit,1494.27,Glasgow
TXN00023,CUST0038,2025-03-25,1568.56,Credit,4517.96,Glasgow
TXN00024,CUST0130,2025-03-03,1562.95,Credit,8057.99,Manchester
TXN00025,CUST0192,2025-01-07,921.41,Credit,1843.14,London
TXN00026,CUST0188,2025-03-16,802.03,Debit,1738.04,Leeds
TXN00027,CUST0021,2025-03-25,612.8,Debit,6612.58,Manchester
TXN00028,CUST0161,2025-03-21,140.73,Credit,2373.24,Birmingham
TXN00029,CUST0058,2025-01-04,464.19,Debit,1427.3,Glasgow
TXN00030,CUST0022,2025-01-06,500.74,Debit,2085.06,London
TXN00031,CUST0089,2025-02-27,973.31,Credit,9275.45,Manchester
TXN00032,CUST0049,2025-01-22,1497.41,Credit,8303.98,Birmingham
TXN00033,CUST0059,2025-01-26,952.88,Debit,3863.61,Manchester
TXN00034,CUST0170,2025-01-03,125.11,Debit,6730.3,Manchester
TXN00035,CUST0188,2025-02-10,1916.0,Debit,5604.12,Leeds
TXN00036,CUST0015,2025-03-01,1886.02,Credit,6932.68,Leeds
TXN00037,CUST0190,2025-01-14,1572.53,Credit,6985.38,Manchester
TXN00038,CUST0190,2025-03-16,1982.74,Credit,6472.97,Birmingham
TXN00039,CUST0175,2025-03-23,1093.52,Credit,3027.96,London
TXN00040,CUST0190,2025-01-12,1925.91,Credit,870.56,London
TXN00041,CUST0051,2025-03-28,160.45,Debit,4827.88,Glasgow
TXN00042,CUST0108,2025-01-12,737.7,Debit,8964.25,Glasgow
TXN00043,CUST0055,2025-01-13,458.51,Debit,5910.22,London
TXN00044,CUST0064,2025-01-25,399.71,Credit,8407.71,Manchester
TXN00045,CUST0131,2025-02-14,290.2,Credit,9920.43,Manchester
TXN00046,CUST0051,2025-01-19,1248.6,Credit,2054.35,Leeds
TXN00047,CUST0135,2025-02-24,1564.83,Debit,7071.89,Leeds
TXN00048,CUST0021,2025-02-14,1160.81,Credit,6905.79,Glasgow
TXN00049,CUST0073,2025-01-08,302.46,Credit,9809.58,London
TXN00050,CUST0167,2025-02-22,1624.14,Debit,9863.21,Manchester
TXN00051,CUST0018,2025-02-24,1275.55,Credit,7023.45,London
TXN00052,CUST0132,2025-02-01,782.45,Debit,2814.34,Birmingham
TXN00053,CUST0089,2025-02-20,1351.52,Credit,8086.28,London
TXN00054,CUST0060,2025-02-13,527.21,Credit,1516.78,Birmingham
TXN00055,CUST0014,2025-03-23,696.93,Debit,7916.64,Leeds
